"","variable","value","pop","country_iso2","mean_w","se_w","count","question_n"
"1","bus_cur_opn","No","overall_owner_manager","AR",0.159750536,0.020619019,90,635
"2","bus_cur_opn","Yes","overall_owner_manager","AR",0.840249464,0.020619019,545,635
"3","bus_dig_rev","All","overall_owner_manager","AR",0.078743993,0.017178535,39,507
"4","bus_dig_rev","Between 0 and 25%","overall_owner_manager","AR",0.211509874,0.026046579,122,507
"5","bus_dig_rev","Between 25 and 50%","overall_owner_manager","AR",0.160163629,0.023391955,67,507
"6","bus_dig_rev","Between 50 and 75%","overall_owner_manager","AR",0.106951006,0.019711393,66,507
"7","bus_dig_rev","Between 75 and 100%","overall_owner_manager","AR",0.141745201,0.022245877,70,507
"8","bus_dig_rev","None","overall_owner_manager","AR",0.300886298,0.029252457,143,507
"9","bus_drv","All","overall_owner_manager","AR",0.060768453,0.014756263,28,537
"10","bus_drv","Between 0 and 25%","overall_owner_manager","AR",0.196369805,0.024536716,132,537
"11","bus_drv","Between 25 and 50%","overall_owner_manager","AR",0.191344002,0.024296309,83,537
"12","bus_drv","Between 50 and 75%","overall_owner_manager","AR",0.112265272,0.019499132,68,537
"13","bus_drv","Between 75 and 100%","overall_owner_manager","AR",0.15739151,0.02249337,76,537
"14","bus_drv","None","overall_owner_manager","AR",0.281860958,0.027788985,150,537
"15","bus_emp_btn_2","0 (Just me)","overall_owner_manager","AR",0.382756636,0.026636201,278,679
"16","bus_emp_btn_2","1","overall_owner_manager","AR",0.156029534,0.019886106,112,679
"17","bus_emp_btn_2","100 to 250","overall_owner_manager","AR",0.002711534,0.00284971,2,679
"18","bus_emp_btn_2","10 to 49","overall_owner_manager","AR",0.081730652,0.015012749,32,679
"19","bus_emp_btn_2","2 to 4","overall_owner_manager","AR",0.273026624,0.02441431,185,679
"20","bus_emp_btn_2","50 to 99","overall_owner_manager","AR",0.004341225,0.003602833,5,679
"21","bus_emp_btn_2","5 to 9","overall_owner_manager","AR",0.099403794,0.016396428,65,679
"22","bus_emp_chn","Decreased","overall_owner_manager","AR",0.330746282,0.026826598,194,622
"23","bus_emp_chn","Dont know","overall_owner_manager","AR",0.110370168,0.017867066,67,622
"24","bus_emp_chn","Increased","overall_owner_manager","AR",0.074437066,0.014966503,51,622
"25","bus_emp_chn","Stayed the same","overall_owner_manager","AR",0.484446484,0.028495908,310,622
"26","bus_fut_chl_cash_flow","Checked","overall_owner_manager","AR",0.219866523,0.026869857,112,494
"27","bus_fut_chl_cash_flow","Unchecked","overall_owner_manager","AR",0.780133477,0.026869857,382,494
"28","bus_fut_chl_finding_supplies","Checked","overall_owner_manager","AR",0.170161656,0.024379733,81,494
"29","bus_fut_chl_finding_supplies","Unchecked","overall_owner_manager","AR",0.829838344,0.024379733,413,494
"30","bus_fut_chl_getting_new_investors","Checked","overall_owner_manager","AR",0.138029366,0.022378621,61,494
"31","bus_fut_chl_getting_new_investors","Unchecked","overall_owner_manager","AR",0.861970634,0.022378621,433,494
"32","bus_fut_chl_getting_new_loans","Checked","overall_owner_manager","AR",0.177932626,0.024813204,79,494
"33","bus_fut_chl_getting_new_loans","Unchecked","overall_owner_manager","AR",0.822067374,0.024813204,415,494
"34","bus_fut_chl_government_or_health_authority_orders","Checked","overall_owner_manager","AR",0.192015185,0.025554696,90,494
"35","bus_fut_chl_government_or_health_authority_orders","Unchecked","overall_owner_manager","AR",0.807984815,0.025554696,404,494
"36","bus_fut_chl_inventory","Checked","overall_owner_manager","AR",0.096836391,0.019186858,44,494
"37","bus_fut_chl_inventory","Unchecked","overall_owner_manager","AR",0.903163609,0.019186858,450,494
"38","bus_fut_chl_lack_of_demand_no_customers","Checked","overall_owner_manager","AR",0.434284733,0.032157892,219,494
"39","bus_fut_chl_lack_of_demand_no_customers","Unchecked","overall_owner_manager","AR",0.565715267,0.032157892,275,494
"40","bus_fut_chl_lack_of_workers","Checked","overall_owner_manager","AR",0.097149967,0.019214562,40,494
"41","bus_fut_chl_lack_of_workers","Unchecked","overall_owner_manager","AR",0.902850033,0.019214562,454,494
"42","bus_fut_chl_logistics_e_g_shipping_delivering_services_or_goods","Checked","overall_owner_manager","AR",0.17639702,0.024728964,86,494
"43","bus_fut_chl_logistics_e_g_shipping_delivering_services_or_goods","Unchecked","overall_owner_manager","AR",0.82360298,0.024728964,408,494
"44","bus_fut_chl_no_challenges","Checked","overall_owner_manager","AR",0.137716728,0.022357316,69,494
"45","bus_fut_chl_no_challenges","Unchecked","overall_owner_manager","AR",0.862283272,0.022357316,425,494
"46","bus_fut_chl_other_please_specify","Checked","overall_owner_manager","AR",0.057298464,0.015078562,23,494
"47","bus_fut_chl_other_please_specify","Unchecked","overall_owner_manager","AR",0.942701536,0.015078562,471,494
"48","bus_fut_chl_repaying_outstanding_loans","Checked","overall_owner_manager","AR",0.201264961,0.026012782,102,494
"49","bus_fut_chl_repaying_outstanding_loans","Unchecked","overall_owner_manager","AR",0.798735039,0.026012782,392,494
"50","bus_mth_hir_alt_f","All","overall_owner_manager","AR",0.093298414,0.0169081,48,603
"51","bus_mth_hir_alt_f","Exactly half","overall_owner_manager","AR",0.056335204,0.013403688,26,603
"52","bus_mth_hir_alt_f","Less than half","overall_owner_manager","AR",0.088418971,0.016504252,52,603
"53","bus_mth_hir_alt_f","More than half","overall_owner_manager","AR",0.016911748,0.007495765,15,603
"54","bus_mth_hir_alt_f","None","overall_owner_manager","AR",0.745035662,0.025336915,462,603
"55","bus_rol","Both own and manage a business","overall_owner_manager","AR",0.492784931,0.027397283,350,679
"56","bus_rol","Manage a business","overall_owner_manager","AR",0.113027213,0.017351194,71,679
"57","bus_rol","Own a business","overall_owner_manager","AR",0.394187855,0.026779553,258,679
"58","bus_sls_dif","Dont know","overall_owner_manager","AR",0.06087031,0.014368051,34,549
"59","bus_sls_dif","Higher than last year","overall_owner_manager","AR",0.269292403,0.026657301,140,549
"60","bus_sls_dif","Lower than last year","overall_owner_manager","AR",0.399258873,0.029430882,224,549
"61","bus_sls_dif","Same as last year","overall_owner_manager","AR",0.15948158,0.022001951,87,549
"62","bus_sls_dif","This business was not in operation last year","overall_owner_manager","AR",0.111096833,0.018884712,64,549
"63","bus_srv","12 months or more","overall_owner_manager","AR",0.282099399,0.02981442,156,479
"64","bus_srv","At least 1 month but less than 2 months","overall_owner_manager","AR",0.023733906,0.010084673,13,479
"65","bus_srv","At least 2 months but less than 3 months","overall_owner_manager","AR",0.045841885,0.013855894,21,479
"66","bus_srv","At least 3 months but less than 6 months","overall_owner_manager","AR",0.073162105,0.017251947,39,479
"67","bus_srv","At least 6 months but less than 9 months","overall_owner_manager","AR",0.09639567,0.019552894,43,479
"68","bus_srv","At least 9 months but less than 12 months","overall_owner_manager","AR",0.07232333,0.017160528,37,479
"69","bus_srv","Less than 1 month","overall_owner_manager","AR",0.012530746,0.007369591,6,479
"70","bus_srv","Not sure","overall_owner_manager","AR",0.39391296,0.032371346,164,479
"71","chl_fin_bills_or_accounts_payable","Checked","overall_owner_manager","AR",0.240483598,0.030243566,117,433
"72","chl_fin_bills_or_accounts_payable","Unchecked","overall_owner_manager","AR",0.759516402,0.030243566,316,433
"73","chl_fin_debt_or_loans","Checked","overall_owner_manager","AR",0.245876788,0.030472045,114,433
"74","chl_fin_debt_or_loans","Unchecked","overall_owner_manager","AR",0.754123212,0.030472045,319,433
"75","chl_fin_none_of_the_above","Checked","overall_owner_manager","AR",0.354267258,0.033846487,143,433
"76","chl_fin_none_of_the_above","Unchecked","overall_owner_manager","AR",0.645732742,0.033846487,290,433
"77","chl_fin_rent_or_lease","Checked","overall_owner_manager","AR",0.226683228,0.029628529,101,433
"78","chl_fin_rent_or_lease","Unchecked","overall_owner_manager","AR",0.773316772,0.029628529,332,433
"79","chl_fin_taxes","Checked","overall_owner_manager","AR",0.478948137,0.035351382,199,433
"80","chl_fin_taxes","Unchecked","overall_owner_manager","AR",0.521051863,0.035351382,234,433
"81","chl_fin_worker_benefits","Checked","overall_owner_manager","AR",0.140205957,0.024569829,54,433
"82","chl_fin_worker_benefits","Unchecked","overall_owner_manager","AR",0.859794043,0.024569829,379,433
"83","chl_fin_worker_hazard_pay","Checked","overall_owner_manager","AR",0.067123872,0.017708108,18,433
"84","chl_fin_worker_hazard_pay","Unchecked","overall_owner_manager","AR",0.932876128,0.017708108,415,433
"85","chl_fin_worker_salaries_and_wages","Checked","overall_owner_manager","AR",0.190942948,0.027813975,83,433
"86","chl_fin_worker_salaries_and_wages","Unchecked","overall_owner_manager","AR",0.809057052,0.027813975,350,433
"87","dem_age","20 to 29","overall_owner_manager","AR",0.180986047,0.021144629,95,676
"88","dem_age","30 to 39","overall_owner_manager","AR",0.325934547,0.025742345,210,676
"89","dem_age","40 to 49","overall_owner_manager","AR",0.228132486,0.023046067,194,676
"90","dem_age","50 to 59","overall_owner_manager","AR",0.131282949,0.018547065,114,676
"91","dem_age","60 to 69","overall_owner_manager","AR",0.059635179,0.013005628,36,676
"92","dem_age","70 or older","overall_owner_manager","AR",0.046166439,0.011524746,18,676
"93","dem_age","Less than 20","overall_owner_manager","AR",0.027862353,0.009038672,9,676
"94","dgt_use_advertising","Checked","overall_owner_manager","AR",0.681383608,0.029563878,360,514
"95","dgt_use_advertising","Unchecked","overall_owner_manager","AR",0.318616392,0.029563878,154,514
"96","dgt_use_analyzing_or_researching_to_answer_business_questions","Checked","overall_owner_manager","AR",0.150766972,0.022703773,63,514
"97","dgt_use_analyzing_or_researching_to_answer_business_questions","Unchecked","overall_owner_manager","AR",0.849233028,0.022703773,451,514
"98","dgt_use_communicating_directly_with_customers","Checked","overall_owner_manager","AR",0.594781667,0.031149769,316,514
"99","dgt_use_communicating_directly_with_customers","Unchecked","overall_owner_manager","AR",0.405218333,0.031149769,198,514
"100","dgt_use_coordinating_or_collaborating_between_employees","Checked","overall_owner_manager","AR",0.129397475,0.02129631,68,514
"101","dgt_use_coordinating_or_collaborating_between_employees","Unchecked","overall_owner_manager","AR",0.870602525,0.02129631,446,514
"102","dgt_use_hiring","Checked","overall_owner_manager","AR",0.0524912,0.014150324,28,514
"103","dgt_use_hiring","Unchecked","overall_owner_manager","AR",0.9475088,0.014150324,486,514
"104","dgt_use_none_of_the_above","Checked","overall_owner_manager","AR",0.093284924,0.018453241,43,514
"105","dgt_use_none_of_the_above","Unchecked","overall_owner_manager","AR",0.906715076,0.018453241,471,514
"106","dgt_use_selling_goods_and_services","Checked","overall_owner_manager","AR",0.427677233,0.031391356,222,514
"107","dgt_use_selling_goods_and_services","Unchecked","overall_owner_manager","AR",0.572322767,0.031391356,292,514
"108","dig_perm","Don't know","overall_owner_manager","AR",0.216343308,0.027581443,91,471
"109","dig_perm","No","overall_owner_manager","AR",0.145403578,0.023612959,59,471
"110","dig_perm","Yes","overall_owner_manager","AR",0.638253114,0.032187052,321,471
"111","dig_use_access_to_digital_solutions_and_business_intelligence_services","Checked","overall_owner_manager","AR",0.242850989,0.028937483,101,467
"112","dig_use_access_to_digital_solutions_and_business_intelligence_services","Unchecked","overall_owner_manager","AR",0.757149011,0.028937483,366,467
"113","dig_use_increase_in_customer_or_supplier_base","Checked","overall_owner_manager","AR",0.373223446,0.032639309,164,467
"114","dig_use_increase_in_customer_or_supplier_base","Unchecked","overall_owner_manager","AR",0.626776554,0.032639309,303,467
"115","dig_use_increase_in_employment","Checked","overall_owner_manager","AR",0.058059537,0.015781513,32,467
"116","dig_use_increase_in_employment","Unchecked","overall_owner_manager","AR",0.941940463,0.015781513,435,467
"117","dig_use_increase_in_sales","Checked","overall_owner_manager","AR",0.393847372,0.032972745,178,467
"118","dig_use_increase_in_sales","Unchecked","overall_owner_manager","AR",0.606152628,0.032972745,289,467
"119","dig_use_lower_operation_costs_or_costs_of_sourcing_goods_and_services","Checked","overall_owner_manager","AR",0.155309799,0.02444265,71,467
"120","dig_use_lower_operation_costs_or_costs_of_sourcing_goods_and_services","Unchecked","overall_owner_manager","AR",0.844690201,0.02444265,396,467
"121","dig_use_no_impact","Checked","overall_owner_manager","AR",0.305002199,0.031070148,138,467
"122","dig_use_no_impact","Unchecked","overall_owner_manager","AR",0.694997801,0.031070148,329,467
"123","dig_use_something_not_listed_here","Checked","overall_owner_manager","AR",0.053346147,0.015165169,31,467
